PIDM,Cohort,SEX,Degree,Major 1,1st Year GPA,Dorm,1st Year Retention,College,Total Earned Hours,SAT,Major 2,Advisor
632,202109F,M,BS,Finance,3.5,Regis Hall,1,DSB,42,,,48.0
633,202109F,F,BS,Nursing,3.44,Gonzaga Hall,1,EGAN,54,,,35.0
634,202109F,F,BS,Marketing,3.71,Jogues Hall,1,DSB,48,,,36.0
635,202109F,F,BA,International Studies,3.51,Campion Hall,1,CAS,45,,,52.0
636,202109F,F,BS,Nursing,3.39,Campion Hall,1,EGAN,47,,,65.0
637,202109F,M,BA,Politics,2.51,Gonzaga Hall,1,CAS,39,,,106.0
638,202109F,F,BS,Nursing,3.0,Loyola Hall,1,EGAN,44,,,36.0
639,202109F,F,BS,DSB Undeclared,3.8,Jogues Hall,1,DSB,46,,,16.0
640,202109F,F,BS,DSB Undeclared,4.0,Campion Hall,1,DSB,46,,,59.0
641,202109F,M,BS,DSB Undeclared,3.76,Gonzaga Hall,1,DSB,45,1340.0,,69.0
642,202109F,F,BS,DSB Undeclared,3.63,Gonzaga Hall,0,DSB,30,,,22.0
643,202109F,F,BS,DSB Undeclared,2.67,Gonzaga Hall,1,DSB,36,,,163.0
644,202109F,F,BS,Psychology,3.85,Jogues Hall,1,CAS,49,1400.0,,133.0
645,202109F,F,BS,DSB Undeclared,3.36,Jogues Hall,1,DSB,45,,,36.0
646,202109F,F,BA,Communication,3.73,Regis Hall,1,CAS,49,,,10.0
647,202109F,M,BS,DSB Undeclared,3.0,Loyola Hall,0,DSB,12,,,38.0
648,202109F,F,BS,Psychology,3.65,Jogues Hall,1,CAS,49,,,46.0
649,202109F,M,BS,Finance,3.8,Jogues Hall,1,DSB,54,1390.0,,48.0
650,202109F,M,BS,DSB Undeclared,3.54,Jogues Hall,1,DSB,48,,,98.0
651,202109F,M,BS,DSB Undeclared,3.14,Regis Hall,1,DSB,42,,,123.0
652,202109F,M,BS,Finance,3.6,Jogues Hall,1,DSB,45,,,89.0
653,202109F,F,BA,Digital Journalism,3.36,Gonzaga Hall,1,CAS,48,,,0.0
654,202109F,F,BA,English,4.0,Gonzaga Hall,1,CAS,54,,,88.0
655,202109F,M,BS,DSB Undeclared,3.83,Regis Hall,1,DSB,48,,,48.0
656,202109F,M,BS,DSB Undeclared,3.13,Jogues Hall,1,DSB,45,,,76.0
657,202109F,F,BA,Undeclared,3.84,Jogues Hall,1,CAS,45,,,138.0
658,202109F,M,BS,Accounting,3.94,Jogues Hall,1,DSB,67,1320.0,,82.0
659,202109F,M,BS,Marketing,3.42,Loyola Hall,1,DSB,45,,,36.0
660,202109F,M,BA,Undeclared,3.4,Regis Hall,1,CAS,48,,,0.0
661,202109F,F,BA,Communication,3.87,Gonzaga Hall,1,CAS,45,,,121.0
662,202109F,M,BS,Mechanical Engineering,3.33,Jogues Hall,1,SEC,52,1260.0,,0.0
663,202109F,F,BA,Politics,3.89,Jogues Hall,1,CAS,46,,,56.0
664,202109F,F,BS,Psychology,3.87,Jogues Hall,1,CAS,48,1340.0,,65.0
665,202109F,F,BS,DSB Undeclared,3.84,Gonzaga Hall,1,DSB,54,,,54.0
666,202109F,M,BA,Program on the Environment,3.48,Jogues Hall,1,CAS,42,,,0.0
667,202109F,M,BS,Nursing,3.0,Campion Hall,1,EGAN,49,,,50.0
668,202109F,M,BS,DSB Undeclared,3.42,Loyola Hall,1,DSB,45,,,36.0
669,202109F,F,BS,Psychology,3.89,Regis Hall,1,CAS,48,,,65.0
670,202109F,F,BA,Undeclared,3.84,Regis Hall,1,CAS,46,1170.0,,143.0
671,202109F,F,BS,Nursing,3.93,Campion Hall,1,EGAN,66,,,97.0
672,202109F,F,BS,Nursing,3.88,Gonzaga Hall,1,EGAN,55,1390.0,,35.0
673,202109F,M,BS,Economics,3.58,Loyola Hall,1,DSB,45,,,88.0
674,202109F,F,BS,Nursing,3.39,Jogues Hall,1,EGAN,51,,,75.0
675,202109F,F,BS,Marketing,2.13,Gonzaga Hall,1,DSB,45,,,98.0
676,202109F,F,BS,Nursing,3.75,Loyola Hall,1,EGAN,72,1410.0,,51.0
677,202109F,F,BS,Nursing,3.61,Gonzaga Hall,1,EGAN,49,,,67.0
678,202109F,F,BS,Psychology,3.64,Regis Hall,1,CAS,47,,,26.0
679,202109F,M,BS,Marketing,3.42,Gonzaga Hall,1,DSB,45,,,36.0
680,202109F,M,BS,Economics,3.88,Regis Hall,1,DSB,51,,,88.0
681,202109F,M,BS,Biology,3.39,Campion Hall,1,CAS,54,1280.0,,96.0
682,202109F,F,BS,DSB Undeclared,3.71,Loyola Hall,1,DSB,45,,,6.0
683,202109F,F,BS,Nursing,3.23,Gonzaga Hall,1,EGAN,46,,,64.0
684,202109F,F,BS,Nursing,3.22,Jogues Hall,1,EGAN,51,,,30.0
685,202109F,M,BS,Management,2.04,Jogues Hall,1,DSB,42,,,85.0
686,202109F,F,BA,Undeclared,4.0,Jogues Hall,1,CAS,47,,,102.0
687,202109F,F,BS,Chemistry,2.82,Campion Hall,1,CAS,57,,,0.0
688,202109F,F,BS,Marketing,3.8,Campion Hall,1,DSB,58,1240.0,,6.0
689,202109F,M,BS,Psychology,3.54,Jogues Hall,1,CAS,61,1330.0,,46.0
690,202109F,F,BS,DSB Undeclared,3.58,Gonzaga Hall,1,DSB,45,1240.0,,62.0
691,202109F,F,BS,SOE Undeclared,3.26,Campion Hall,0,SEC,13,,,0.0
692,202109F,F,BS,Marketing,3.81,Regis Hall,1,DSB,57,,,4.0
693,202109F,F,BA,Undeclared,3.82,Loyola Hall,1,CAS,45,,,121.0
694,202109F,M,BS,DSB Undeclared,2.64,Jogues Hall,1,DSB,33,,,44.0
695,202109F,F,BA,Undeclared,3.7,Jogues Hall,1,CAS,43,,,39.0
696,202109F,F,BS,Biology,2.93,Regis Hall,1,CAS,45,,,71.0
697,202109F,F,BS,Biology,3.57,Commuter,1,CAS,54,,,0.0
698,202109F,F,BS,Nursing,3.58,Campion Hall,1,EGAN,50,,,30.0
699,202109F,F,BS,Psychology,3.43,Gonzaga Hall,1,CAS,46,,,87.0
700,202109F,F,BS,Marketing,4.0,Gonzaga Hall,1,DSB,46,,,116.0
701,202109F,F,BA,Sociology and Anthropology,3.87,Jogues Hall,1,CAS,51,,,149.0
702,202109F,M,BS,Biology,3.71,Campion Hall,1,CAS,46,,,61.0
703,202109F,M,BS,Management,3.96,Jogues Hall,1,DSB,46,1380.0,,5.0
704,202109F,F,BS,Nursing,3.11,Campion Hall,1,EGAN,45,,,30.0
705,202109F,F,BS,Psychology,2.77,Campion Hall,1,CAS,45,,,77.0
706,202109F,M,BS,SOE Undeclared,,Campion Hall,0,SEC,0,,,
707,202109F,M,BS,Marketing,3.83,Jogues Hall,1,DSB,52,1520.0,,6.0
708,202109F,M,BS,Finance,2.81,Loyola Hall,1,DSB,42,,,54.0
709,202109F,M,BS,SOE Undeclared,2.37,Jogues Hall,1,SEC,49,,,120.0
710,202109F,F,BS,Mathematics,3.45,Campion Hall,1,CAS,52,,,0.0
711,202109F,F,BA,Undeclared,4.0,Gonzaga Hall,0,CAS,30,,,164.0
712,202109F,M,BS,Accounting,2.98,Jogues Hall,1,DSB,46,,,82.0
713,202109F,M,BS,DSB Undeclared,3.39,Jogues Hall,1,DSB,46,,,53.0
714,202109F,F,BS,Finance,3.54,Regis Hall,1,DSB,50,,,13.0
715,202109F,F,BS,Psychology,3.94,Jogues Hall,1,CAS,51,1390.0,,133.0
716,202109F,M,BS,DSB Undeclared,2.58,Gonzaga Hall,1,DSB,45,,,13.0
717,202109F,F,BA,English,3.33,Campion Hall,1,CAS,45,,,0.0
718,202109F,F,BS,DSB Undeclared,3.91,Regis Hall,1,DSB,50,1370.0,,82.0
719,202109F,F,BA,Undeclared,3.82,Regis Hall,1,CAS,45,,,163.0
720,202109F,M,BA,Politics,3.6,Jogues Hall,0,CAS,15,,,39.0
721,202109F,F,BA,Undeclared,3.98,Jogues Hall,1,CAS,59,,,86.0
722,202109F,F,BS,DSB Undeclared,2.93,Loyola Hall,0,DSB,15,,,76.0
723,202109F,M,BS,Mechanical Engineering,2.85,Commuter,1,SEC,46,,,0.0
724,202109F,F,BS,Management,3.71,Jogues Hall,1,DSB,57,,,62.0
725,202109F,F,BS,Nursing,3.7,Gonzaga Hall,1,EGAN,48,,,30.0
726,202109F,F,BA,International Studies,3.91,Jogues Hall,1,CAS,45,,,52.0
727,202109F,M,BS,Accounting,3.6,Campion Hall,1,DSB,42,,,59.0
728,202109F,M,BS,Economics,3.72,Regis Hall,1,DSB,46,1280.0,,54.0
729,202109F,F,BS,Public Health,3.88,Campion Hall,1,EGAN,48,,,131.0
730,202109F,F,BS,Psychology,2.75,Jogues Hall,1,CAS,48,,,6.0
731,202109F,F,BS,Nursing,3.83,Jogues Hall,1,EGAN,61,1300.0,,17.0
732,202109F,F,BS,Marketing,3.13,Regis Hall,1,DSB,45,,,6.0
733,202109F,M,BS,Biology,3.24,Campion Hall,1,CAS,55,1340.0,,81.0
734,202109F,M,BS,DSB Undeclared,2.27,Campion Hall,1,DSB,40,,,112.0
735,202109F,M,BS,Nursing,3.87,Campion Hall,1,EGAN,46,1360.0,,69.0
736,202109F,F,BS,Nursing,3.61,Campion Hall,1,EGAN,51,,,124.0
737,202109F,F,BS,Mechanical Engineering,3.86,Campion Hall,1,SEC,47,1330.0,,45.0
738,202109F,M,BS,DSB Undeclared,3.11,Gonzaga Hall,1,DSB,45,,,89.0
739,202109F,F,BA,Undeclared,4.0,Loyola Hall,0,CAS,37,,,0.0
740,202109F,F,BA,Politics,3.78,Jogues Hall,1,CAS,45,,,105.0
741,202109F,M,BS,Finance,4.0,Gonzaga Hall,1,DSB,54,1430.0,,73.0
742,202109F,F,BS,Computer Science,3.39,Gonzaga Hall,1,SEC,51,,,11.0
743,202109F,F,BS,Finance,3.29,Campion Hall,1,DSB,48,,,73.0
744,202109F,F,BA,Undeclared,3.82,Loyola Hall,1,CAS,48,,,15.0
745,202109F,F,BS,Nursing,3.54,Campion Hall,1,EGAN,49,,,30.0
746,202109F,M,BS,Nursing,3.57,Campion Hall,1,EGAN,46,1030.0,,13.0
747,202109F,F,BA,Undeclared,3.67,Jogues Hall,1,CAS,42,,,12.0
748,202109F,M,BS,International Business,2.96,Jogues Hall,0,DSB,27,,,52.0
749,202109F,M,BA,Undeclared,3.2,Campion Hall,1,CAS,45,,,0.0
750,202109F,M,BA,Undeclared,3.62,Regis Hall,1,CAS,45,,,21.0
751,202109F,F,BS,Nursing,3.22,Gonzaga Hall,1,EGAN,51,,,151.0
752,202109F,F,BS,Nursing,3.39,Campion Hall,0,EGAN,13,,,0.0
753,202109F,M,BS,Management,3.44,Jogues Hall,1,DSB,45,,,58.0
754,202109F,F,BA,Program on the Environment,0.25,Gonzaga Hall,1,CAS,3,,,0.0
755,202109F,F,BA,Undeclared,2.98,Gonzaga Hall,1,CAS,42,,,41.0
756,202109F,F,BS,Nursing,3.52,Gonzaga Hall,1,EGAN,51,,,97.0
757,202109F,M,BS,Finance,2.52,Gonzaga Hall,1,DSB,42,,,89.0
758,202109F,M,BS,Finance,3.42,Regis Hall,1,DSB,45,,,69.0
759,202109F,F,BS,Nursing,2.74,Regis Hall,1,EGAN,43,,,51.0
760,202109F,F,BA,Undeclared,3.86,Jogues Hall,1,CAS,53,1480.0,,152.0
761,202109F,M,BS,Biomedical Engineering,3.61,Campion Hall,1,SEC,51,,,0.0
762,202109F,M,BS,Biology,3.49,Campion Hall,1,CAS,51,,,81.0
763,202109F,M,BS,Mechanical Engineering,2.46,Campion Hall,1,SEC,52,,,14.0
764,202109F,F,BS,Psychology,3.91,Jogues Hall,1,CAS,50,,,133.0
765,202109F,F,BS,Nursing,3.99,Campion Hall,1,EGAN,52,1330.0,,17.0
766,202109F,M,BS,DSB Undeclared,3.69,Gonzaga Hall,1,DSB,54,1280.0,,36.0
767,202109F,F,BA,English,4.0,Campion Hall,1,CAS,63,,,164.0
768,202109F,F,BA,Undeclared,3.69,Gonzaga Hall,1,CAS,48,,,0.0
769,202109F,M,BA,Undeclared,2.17,Loyola Hall,1,CAS,33,1210.0,,0.0
770,202109F,M,BS,DSB Undeclared,3.98,Regis Hall,1,DSB,52,,,0.0
771,202109F,F,BS,Marketing,2.5,Jogues Hall,1,DSB,39,,,71.0
772,202109F,M,BS,DSB Undeclared,3.8,Regis Hall,1,DSB,56,,,82.0
773,202109F,F,BS,Biology,3.57,Campion Hall,1,CAS,53,1430.0,,96.0
774,202109F,F,BS,Marketing,3.92,Regis Hall,1,DSB,55,,,36.0
775,202109F,F,BA,Undeclared,3.47,Campion Hall,1,CAS,45,,,121.0
776,202109F,M,BS,Finance,3.82,Jogues Hall,1,DSB,51,1270.0,,48.0
777,202109F,F,BS,Nursing,3.06,Campion Hall,0,EGAN,36,,,84.0
778,202109F,F,BS,Management,2.85,Regis Hall,1,DSB,45,,,21.0
779,202109F,F,BA,Communication,3.8,Loyola Hall,1,CAS,45,,,18.0
780,202109F,F,BS,Biology,3.05,Regis Hall,1,CAS,51,1240.0,,96.0
781,202109F,F,BA,Sociology and Anthropology,2.79,Gonzaga Hall,1,CAS,39,,,0.0
782,202109F,F,BS,Nursing,2.67,Regis Hall,0,EGAN,15,1310.0,,35.0
783,202109F,M,BA,Undeclared,3.07,Loyola Hall,1,CAS,42,1330.0,,0.0
784,202109F,F,BA,Undeclared,3.4,Campion Hall,1,CAS,45,,,95.0
785,202109F,F,BS,Nursing,3.32,Campion Hall,1,EGAN,51,,,50.0
786,202109F,M,BS,Computer Science,2.81,Campion Hall,1,SEC,44,,,0.0
787,202109F,M,BS,DSB Undeclared,2.53,Loyola Hall,1,DSB,45,,,123.0
788,202109F,F,BS,Nursing,2.78,Gonzaga Hall,1,EGAN,42,,,97.0
789,202109F,M,BS,DSB Undeclared,3.09,Loyola Hall,1,DSB,49,,,28.0
790,202109F,F,BS,Marketing,3.5,Gonzaga Hall,1,DSB,42,,,6.0
791,202109F,M,BS,DSB Undeclared,2.93,Gonzaga Hall,1,DSB,42,,,129.0
792,202109F,F,BS,Chemistry,3.71,Campion Hall,1,CAS,54,,,0.0
793,202109F,F,BS,Nursing,3.39,Jogues Hall,1,EGAN,60,,,51.0
794,202109F,F,BS,DSB Undeclared,2.74,Regis Hall,1,DSB,42,,,69.0
795,202109F,F,BS,Finance,3.8,Jogues Hall,1,DSB,52,1220.0,,70.0
796,202109F,F,BA,Undeclared,3.68,Jogues Hall,1,CAS,46,,,65.0
797,202109F,M,BS,Accounting,1.33,Loyola Hall,0,DSB,12,,,59.0
798,202109F,F,BS,Nursing,2.93,Regis Hall,1,EGAN,49,,,67.0
799,202109F,F,BS,Biology,2.8,Campion Hall,1,CAS,43,,,149.0
800,202109F,M,BS,Economics,3.94,Gonzaga Hall,1,DSB,52,1500.0,,22.0
801,202109F,M,BS,Electrical and Computer Engineering,2.77,Regis Hall,1,SEC,55,,,0.0
802,202109F,F,BA,Undeclared,3.8,Gonzaga Hall,0,CAS,15,,,27.0
803,202109F,F,BS,Management,2.79,Gonzaga Hall,1,DSB,42,,,5.0
804,202109F,F,BS,DSB Undeclared,3.59,Regis Hall,1,DSB,49,,,22.0
805,202109F,F,BS,Nursing,3.93,Gonzaga Hall,1,EGAN,53,,,75.0
806,202109F,F,BS,Psychology,3.7,Gonzaga Hall,1,CAS,50,,,152.0
807,202109F,M,BS,Nursing,3.51,Campion Hall,1,EGAN,51,,,84.0
808,202109F,F,BS,Information Systems & Ops Mgmt,3.29,Gonzaga Hall,1,DSB,45,,,8.0
809,202109F,F,BS,DSB Undeclared,3.94,Loyola Hall,1,DSB,48,1330.0,,99.0
810,202109F,F,BS,Nursing,3.98,Regis Hall,0,EGAN,27,,,50.0
811,202109F,F,BA,Program on the Environment,3.22,Loyola Hall,0,CAS,27,,,119.0
812,202109F,M,BS,Psychology,3.68,Jogues Hall,1,CAS,59,1390.0,,133.0
813,202109F,F,BS,Management,3.96,Jogues Hall,1,DSB,53,1390.0,,74.0
814,202109F,F,BA,Undeclared,3.19,Regis Hall,1,CAS,37,,,71.0
815,202109F,F,BS,Nursing,3.16,Campion Hall,1,EGAN,48,,,17.0
816,202109F,M,BS,DSB Undeclared,3.93,Campion Hall,1,DSB,48,,,69.0
817,202109F,F,BA,English,3.36,Gonzaga Hall,1,CAS,47,,,153.0
818,202109F,F,BA,Digital Journalism,3.8,Gonzaga Hall,1,CAS,45,1310.0,,0.0
819,202109F,F,BS,Accounting,4.0,Jogues Hall,1,DSB,66,1530.0,,0.0
820,202109F,F,BS,Biology,3.25,Jogues Hall,1,CAS,49,,,0.0
821,202109F,M,BS,DSB Undeclared,3.6,Gonzaga Hall,1,DSB,45,1220.0,,69.0
822,202109F,M,BS,DSB Undeclared,3.45,Loyola Hall,1,DSB,46,1280.0,,89.0
823,202109F,M,BS,Computer Science,2.99,Campion Hall,1,SEC,43,,,0.0
824,202109F,F,BA,Politics,4.0,Jogues Hall,1,CAS,57,,,83.0
825,202109F,M,BS,Finance,3.89,Regis Hall,1,DSB,45,,,73.0
826,202109F,M,BS,DSB Undeclared,3.59,Regis Hall,1,DSB,49,,,113.0
827,202109F,F,BS,Marketing,3.51,Regis Hall,1,DSB,45,,,4.0
828,202109F,M,BS,Finance,3.72,Regis Hall,1,DSB,46,,,70.0
829,202109F,M,BS,Marketing,3.45,Regis Hall,1,DSB,42,,,138.0
830,202109F,M,BS,DSB Undeclared,3.44,Jogues Hall,1,DSB,45,,,3.0
831,202109F,F,BA,Undeclared,3.76,Loyola Hall,1,CAS,51,,,36.0
832,202109F,M,BS,DSB Undeclared,3.37,Gonzaga Hall,0,DSB,30,,,102.0
833,202109F,M,BS,International Business,3.9,Commuter,1,DSB,49,,,27.0
834,202109F,F,BA,Undeclared,3.67,Jogues Hall,1,CAS,45,,,12.0
835,202109F,M,BS,DSB Undeclared,3.31,Gonzaga Hall,1,DSB,45,1150.0,,16.0
836,202109F,M,BS,DSB Undeclared,3.04,Gonzaga Hall,1,DSB,46,,,69.0
837,202109F,F,BS,DSB Undeclared,3.44,Gonzaga Hall,1,DSB,39,,,62.0
838,202109F,M,BS,Computer Science,3.93,Campion Hall,1,SEC,52,1240.0,,0.0
839,202109F,F,BA,Program on the Environment,3.07,Jogues Hall,1,CAS,46,1390.0,,0.0
840,202109F,F,BS,DSB Undeclared,3.07,Gonzaga Hall,1,DSB,45,,,3.0
841,202109F,F,BS,Psychology,2.73,Campion Hall,1,CAS,49,,,87.0
842,202109F,F,BS,DSB Undeclared,3.36,Campion Hall,1,DSB,45,,,74.0
843,202109F,M,BS,Marketing,3.62,Regis Hall,1,DSB,45,,,4.0
844,202109F,M,BS,SOE Undeclared,2.82,Regis Hall,1,SEC,46,1260.0,,159.0
845,202109F,F,BS,Nursing,3.14,Gonzaga Hall,1,EGAN,49,,,97.0
846,202109F,M,BS,Computer Science,3.97,Campion Hall,0,SEC,46,1530.0,,160.0
847,202109F,M,BS,Finance,3.27,Loyola Hall,1,DSB,45,,,48.0
848,202109F,F,BS,Psychology,2.96,Campion Hall,1,CAS,47,,,46.0
849,202109F,F,BS,DSB Undeclared,3.17,Loyola Hall,1,DSB,46,,,123.0
850,202109F,F,BS,Public Health,3.54,Campion Hall,1,EGAN,51,,,131.0
851,202109F,F,BS,DSB Undeclared,3.67,Regis Hall,1,DSB,45,,,63.0
852,202109F,F,BA,Communication,3.96,Regis Hall,1,CAS,51,,,49.0
853,202109F,F,BS,Nursing,3.3,Gonzaga Hall,1,EGAN,51,,,55.0
854,202109F,M,BA,Undeclared,3.25,Regis Hall,1,CAS,43,,,18.0
855,202109F,M,BA,Undeclared,3.49,Regis Hall,1,CAS,45,,,10.0
856,202109F,F,BS,Psychology,1.86,Jogues Hall,1,CAS,42,,,133.0
857,202109F,F,BS,Biology,3.5,Commuter,1,CAS,50,,,49.0
858,202109F,F,BS,Psychology,3.74,Jogues Hall,1,CAS,58,,,46.0
859,202109F,F,BS,Nursing,2.09,Jogues Hall,0,EGAN,31,,,30.0
860,202109F,F,BS,Nursing,3.22,Gonzaga Hall,1,EGAN,51,,,55.0
861,202109F,M,BS,Management,3.21,Regis Hall,1,DSB,56,1220.0,,85.0
862,202109F,M,BS,DSB Undeclared,2.93,Campion Hall,1,DSB,45,,,68.0
863,202109F,M,BS,DSB Undeclared,3.02,Regis Hall,1,DSB,48,,,63.0
864,202109F,F,BA,Undeclared,3.69,Gonzaga Hall,1,CAS,48,,,12.0
865,202109F,F,BS,DSB Undeclared,3.94,Jogues Hall,1,DSB,58,,,2.0
866,202109F,M,BS,DSB Undeclared,2.64,Regis Hall,1,DSB,42,,,59.0
867,202109F,M,BS,DSB Undeclared,3.73,Jogues Hall,1,DSB,50,1440.0,,88.0
868,202109F,F,BA,Politics,2.82,Gonzaga Hall,1,CAS,42,,,147.0
869,202109F,F,BS,Nursing,2.52,Campion Hall,1,EGAN,44,,,0.0
870,202109F,F,BS,Psychology,3.64,Gonzaga Hall,1,CAS,45,,,71.0
871,202109F,M,BS,International Business,3.43,Jogues Hall,1,DSB,49,1330.0,,68.0
872,202109F,M,BS,DSB Undeclared,3.4,Jogues Hall,1,DSB,45,,,82.0
873,202109F,F,BS,Chemistry,3.3,Campion Hall,1,CAS,69,,,57.0
874,202109F,M,BA,Politics,3.11,Jogues Hall,1,CAS,48,1220.0,,115.0
875,202109F,M,BS,DSB Undeclared,3.7,Jogues Hall,0,DSB,42,1260.0,,85.0
876,202109F,F,BS,Finance,3.46,Jogues Hall,1,DSB,52,,,63.0
877,202109F,F,BS,Nursing,2.26,Jogues Hall,1,EGAN,42,,,71.0
878,202109F,F,BS,Biology,3.93,Commuter,1,CAS,79,1480.0,,142.0
879,202109F,F,BS,Biology,2.74,Regis Hall,1,CAS,45,,,0.0
880,202109F,M,BS,Finance,3.42,Loyola Hall,1,DSB,45,,,13.0
881,202109F,M,BS,DSB Undeclared,3.83,Campion Hall,1,DSB,46,,,0.0
882,202109F,M,BS,Computer Science,2.85,Campion Hall,1,SEC,59,,,11.0
883,202109F,F,BS,DSB Undeclared,3.58,Regis Hall,1,DSB,45,,,13.0
884,202109F,M,BS,Chemistry,2.99,Commuter,1,CAS,45,,,1.0
885,202109F,M,BS,DSB Undeclared,3.38,Jogues Hall,1,DSB,45,,,21.0
886,202109F,M,BS,Finance,2.98,Regis Hall,1,DSB,45,,,102.0
887,202109F,F,BS,Nursing,3.33,Campion Hall,1,EGAN,48,,,35.0
888,202109F,M,BA,History,3.38,Loyola Hall,1,CAS,45,1220.0,,45.0
889,202109F,M,BS,Information Systems & Ops Mgmt,2.63,Jogues Hall,0,DSB,30,,,8.0
890,202109F,F,BS,Nursing,3.46,Campion Hall,1,EGAN,40,,,164.0
891,202109F,F,BA,Undeclared,3.66,Loyola Hall,1,CAS,46,,,152.0
892,202109F,M,BS,Computer Science,3.5,Loyola Hall,1,SEC,60,1510.0,,11.0
893,202109F,M,BS,SOE Undeclared,2.56,Loyola Hall,1,SEC,52,,,120.0
894,202109F,F,BS,DSB Undeclared,2.51,Loyola Hall,1,DSB,39,,,74.0
895,202109F,M,BS,SOE Undeclared,3.0,Regis Hall,1,SEC,55,1370.0,,120.0
896,202109F,M,BS,Management,3.84,Jogues Hall,1,DSB,46,1300.0,,113.0
897,202109F,M,BS,Biomedical Engineering,3.31,Commuter,1,SEC,53,,,0.0
898,202109F,F,BS,Finance,3.36,Gonzaga Hall,1,DSB,46,1190.0,,63.0
899,202109F,F,BS,Marketing,3.27,Loyola Hall,1,DSB,51,,,87.0
900,202109F,F,BS,Chemistry,3.98,Campion Hall,1,CAS,68,1420.0,,0.0
901,202109F,M,BS,DSB Undeclared,3.4,Regis Hall,1,DSB,45,1320.0,,53.0
902,202109F,M,BS,Electrical and Computer Engineering,2.6,Regis Hall,1,SEC,48,,,159.0
903,202109F,F,BS,DSB Undeclared,3.02,Regis Hall,1,DSB,45,,,3.0
904,202109F,M,BS,DSB Undeclared,2.69,Jogues Hall,1,DSB,45,,,40.0
905,202109F,F,BS,DSB Undeclared,3.42,Loyola Hall,1,DSB,46,1250.0,,89.0
906,202109F,F,BS,DSB Undeclared,3.58,Jogues Hall,1,DSB,48,,,166.0
907,202109F,M,BS,DSB Undeclared,3.65,Gonzaga Hall,1,DSB,49,,,53.0
908,202109F,M,BS,Accounting,3.29,Jogues Hall,1,DSB,48,,,82.0
909,202109F,M,BA,Undeclared,3.92,Gonzaga Hall,0,CAS,15,,,0.0
910,202109F,M,BS,Finance,3.56,Jogues Hall,1,DSB,51,,,48.0
911,202109F,F,BS,Nursing,3.06,Jogues Hall,1,EGAN,57,,,67.0
912,202109F,F,BS,Psychology,2.96,Regis Hall,0,CAS,27,,,46.0
913,202109F,F,BS,Biology,3.25,Campion Hall,1,CAS,54,1330.0,,0.0
914,202109F,M,BS,Accounting,3.56,Jogues Hall,1,DSB,51,,,59.0
915,202109F,F,BS,DSB Undeclared,3.96,Loyola Hall,1,DSB,48,,,4.0
916,202109F,F,BS,Marketing,3.22,Gonzaga Hall,1,DSB,45,,,105.0
917,202109F,M,BS,DSB Undeclared,3.37,Regis Hall,1,DSB,50,1350.0,,85.0
918,202109F,F,BS,Marketing,3.31,Regis Hall,1,DSB,45,,,64.0
919,202109F,M,BA,Undeclared,3.21,Jogues Hall,1,CAS,42,,,156.0
920,202109F,F,BS,Mechanical Engineering,2.25,Campion Hall,1,SEC,49,,,0.0
921,202109F,F,BS,Mathematics,3.3,Regis Hall,1,CAS,46,,,132.0
922,202109F,F,BS,DSB Undeclared,3.12,Jogues Hall,1,DSB,46,,,53.0
923,202109F,F,BA,Politics,3.8,Gonzaga Hall,1,CAS,48,1260.0,,39.0
924,202109F,M,BS,Management,3.85,Regis Hall,1,DSB,46,1330.0,,54.0
925,202109F,M,BA,Undeclared,3.5,Regis Hall,1,CAS,53,1320.0,,68.0
926,202109F,M,BS,Management,3.97,Jogues Hall,1,DSB,59,1400.0,,116.0
927,202109F,F,BS,Nursing,3.53,Regis Hall,1,EGAN,54,,,50.0
928,202109F,M,BS,SOE Undeclared,2.6,Regis Hall,1,SEC,48,,,159.0
929,202109F,F,BS,Marketing,3.89,Gonzaga Hall,1,DSB,55,1410.0,,116.0
930,202109F,F,BS,Marketing,3.96,Loyola Hall,1,DSB,58,,,41.0
931,202109F,F,BS,Nursing,3.38,Loyola Hall,1,EGAN,49,,,17.0
932,202109F,M,BS,DSB Undeclared,2.91,Loyola Hall,1,DSB,45,,,22.0
933,202109F,F,BA,English,3.45,Jogues Hall,1,CAS,46,,,41.0
934,202109F,M,BS,Computer Science,3.61,Commuter,1,SEC,60,,,0.0
935,202109F,M,BS,Economics,3.51,Gonzaga Hall,1,DSB,45,,,22.0
936,202109F,M,BS,Accounting,3.96,Regis Hall,1,DSB,45,,,59.0
937,202109F,F,BS,Biology,3.78,Loyola Hall,1,CAS,60,,,103.0
938,202109F,M,BS,Computer Science,0.92,Regis Hall,1,SEC,24,,,0.0
939,202109F,M,BS,Management,3.73,Regis Hall,1,DSB,46,,,85.0
940,202109F,M,BS,DSB Undeclared,3.02,Gonzaga Hall,1,DSB,45,,,113.0
941,202109F,M,BS,Finance,3.54,Loyola Hall,0,DSB,31,1390.0,,0.0
942,202109F,M,BS,Biology,3.5,Campion Hall,1,CAS,51,1340.0,,142.0
943,202109F,M,BS,DSB Undeclared,3.0,Loyola Hall,0,DSB,12,,,21.0
944,202109F,F,BS,DSB Undeclared,3.73,Regis Hall,1,DSB,45,1270.0,,102.0
945,202109F,M,BS,DSB Undeclared,3.2,Gonzaga Hall,1,DSB,45,,,116.0
946,202109F,M,BS,DSB Undeclared,2.0,Loyola Hall,1,DSB,39,,,123.0
